                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.98138,                0.83831,                0.96913,                0.86037,                0.76252,                0.84682,                0.65246,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.93049,                0.77844,                0.94601,                0.87778,                 0.7843,                0.86651,                0.67482,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     44,                0.92576,                0.80878,                0.94248,                0.92941,                0.71956,                0.84829,                0.67128,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     45,                0.98588,                0.81808,                0.96302,                0.89018,                0.74893,                0.86598,                0.66972,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     46,                0.96709,                0.79883,                0.96478,                0.91139,                0.75922,                0.87418,                0.64291,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     47,                0.97525,                0.78019,                0.96827,                0.86696,                0.77856,                0.86464,                0.66277,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     48,                0.99668,                0.80301,                0.97072,                0.87288,                0.76079,                0.86886,                0.66353,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     49,                0.97494,                0.77992,                0.95417,                0.92019,                0.77792,                0.86412,                0.65802,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     50,                0.96175,                0.82024,                0.95718,                0.90628,                0.75045,                 0.8726,                0.66743,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     51,                0.93551,                0.79629,                0.95017,                0.90761,                0.76461,                 0.8794,                0.67892,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
                     52,                0.92311,                0.77123,                0.93488,                0.90229,                0.78822,                0.88374,                0.68729,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     53,                0.92246,                0.75557,                0.94045,                0.84168,                0.78445,                0.86615,                0.66266,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     54,                0.92851,                0.77911,                 0.9472,                0.84934,                0.75666,                 0.8588,                0.68544,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     55,                 0.9408,                0.76645,                0.94127,                0.90387,                0.80872,                0.89191,                0.68018,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     56,                0.89596,                0.71325,                0.92844,                0.88991,                 0.7802,                0.88112,                0.70712,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     57,                0.91485,                0.77064,                0.95697,                0.89529,                0.79371,                0.87596,                0.69281,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     58,                 0.9425,                0.74965,                0.94098,                0.90287,                0.75721,                0.86229,                0.66556,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     59,                0.94048,                0.75663,                0.95733,                0.88076,                0.77658,                0.86601,                0.66572,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     60,                0.90127,                0.71481,                0.93304,                0.91313,                0.79166,                0.88081,                0.69684,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     61,                0.91785,                0.72365,                0.93231,                0.85321,                0.83445,                0.89162,                 0.6915,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     62,                0.91614,                0.70594,                0.94295,                  0.929,                0.75949,                0.86932,                0.68893,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     63,                0.86861,                0.67894,                0.92078,                0.91235,                0.79081,                0.88944,                0.70393,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     64,                0.87977,                0.70259,                0.93831,                 0.8906,                0.79433,                0.88219,                 0.6903,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     65,                0.88154,                0.73019,                0.93415,                 0.8953,                0.75959,                 0.8702,                0.69659,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     66,                 0.8626,                0.68333,                0.92836,                0.90842,                0.81491,                0.88722,                0.71391,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     67,                 0.9037,                0.72527,                0.93597,                0.90791,                0.81126,                0.87518,                0.67412,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     68,                0.95719,                0.77795,                0.96506,                0.83577,                0.79718,                0.86644,                0.67811,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     69,                0.88742,                 0.7161,                0.93008,                0.86628,                0.78539,                0.86062,                0.66858,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.8868,                0.68025,                0.92643,                0.89664,                0.79243,                0.88119,                0.70114,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     71,                0.84448,                0.66236,                 0.9358,                 0.9061,                0.78076,                0.87603,                0.69509,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     72,                0.88662,                0.71508,                0.93324,                0.90108,                  0.804,                 0.8677,                0.69683,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     73,                0.86692,                0.67574,                0.93031,                0.92648,                0.80255,                0.89466,                0.70264,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     74,                0.86571,                0.67976,                0.92657,                0.89269,                0.78287,                0.88506,                0.69946,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     75,                0.86075,                0.66814,                0.93163,                0.86607,                0.81032,                0.88525,                 0.6996,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     76,                0.82669,                0.63612,                0.91532,                0.92521,                0.75971,                0.87675,                0.69541,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
