                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.94259,                0.91481,                  1.061,                0.89064,                0.76887,                0.87704,                0.68754,                    nan,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                0.98719,                0.96476,                 1.0468,                0.83454,                 0.7587,                0.85781,                0.67601,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                0.97039,                0.86838,                 1.0403,                0.91689,                0.76574,                0.88982,                0.70466,                    nan,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                0.97477,                0.92248,                   1.06,                0.89247,                0.78136,                0.86765,                0.68205,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                0.90652,                0.86102,                 1.0229,                0.90143,                0.80713,                0.88617,                 0.7195,                    nan,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     42,                0.94376,                0.89077,                 1.0379,                 0.8945,                0.79495,                0.88507,                 0.7088,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.87549,                0.83913,                 1.0104,                0.90925,                0.79247,                0.89365,                0.72433,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     44,                0.91917,                0.86846,                 1.0285,                0.91733,                0.80605,                0.89444,                0.70763,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     45,                 0.9571,                0.86738,                 1.0422,                0.88265,                0.84755,                0.90049,                0.72908,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     46,                0.89165,                0.83491,                 1.0336,                 0.8854,                0.82467,                0.89634,                0.72394,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     47,                0.89856,                0.85189,                  1.025,                 0.8983,                0.77265,                0.88684,                0.71098,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     48,                0.90186,                0.85311,                 1.0381,                0.92158,                0.80683,                0.89545,                0.71938,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     49,                0.87684,                0.81986,                 1.0152,                0.93233,                0.79323,                0.89335,                0.72748,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     50,                0.90409,                  0.832,                 1.0375,                0.91125,                0.83625,                0.89951,                 0.7149,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     51,                0.91065,                0.84484,                 1.0203,                0.86793,                0.80703,                0.88428,                 0.7266,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
                     52,                0.88316,                0.83758,                 1.0155,                0.93543,                0.84067,                0.91129,                 0.7349,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     53,                0.87213,                0.83308,                0.99577,                 0.8938,                0.80721,                0.90457,                0.74456,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     54,                0.86053,                0.77686,                0.99869,                0.89134,                0.84224,                 0.9032,                0.73532,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     55,                0.85207,                0.80255,                 1.0024,                0.93566,                0.82674,                0.90284,                0.73246,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     56,                 0.8633,                0.77115,                0.99816,                0.93425,                 0.8023,                0.90789,                0.74718,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     57,                0.84627,                0.76302,                0.98349,                0.89941,                0.84983,                0.91003,                 0.7422,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     58,                 0.8615,                0.75402,                 1.0032,                0.89205,                0.84886,                0.91726,                0.74012,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     59,                0.85176,                0.76429,                0.99253,                0.92502,                0.82155,                0.91139,                0.73818,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     60,                0.87937,                0.76116,                 1.0043,                0.89782,                 0.8459,                0.91495,                0.74591,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     61,                0.82785,                0.73776,                 0.9848,                 0.8855,                0.82362,                0.90086,                0.73331,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     62,                0.85313,                0.78106,                0.99137,                0.91023,                0.82509,                0.90517,                0.72416,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     63,                0.86617,                0.76877,                0.99633,                 0.9233,                0.82396,                0.90755,                0.75931,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     64,                0.82159,                0.73397,                0.99166,                0.89644,                0.84232,                0.91059,                0.74832,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     65,                  0.836,                0.75104,                0.99702,                0.93512,                 0.7995,                0.91835,                0.74117,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     66,                0.79837,                0.72019,                0.98458,                0.90399,                0.80781,                0.90736,                0.75415,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     67,                 0.7866,                0.70378,                0.96243,                0.91714,                0.82853,                0.92207,                0.76801,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     68,                0.83253,                 0.7533,                0.97514,                0.90825,                0.87066,                0.91377,                 0.7514,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     69,                0.81286,                0.72893,                0.97885,                 0.8872,                0.87627,                0.92271,                0.76715,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     70,                0.79477,                0.68716,                0.96335,                 0.8969,                0.86726,                0.92525,                0.76106,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     71,                0.79136,                0.70927,                0.95706,                0.91315,                0.88629,                0.93066,                0.77151,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     72,                0.83433,                0.70949,                0.99381,                0.92779,                0.84124,                0.92253,                 0.7755,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     73,                0.78987,                0.66409,                0.95719,                0.92845,                0.81919,                0.92279,                0.75645,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     74,                  0.789,                0.67975,                0.95816,                0.89129,                0.86396,                 0.9229,                0.75766,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     75,                0.80866,                0.68648,                0.97712,                  0.922,                 0.8326,                0.92235,                0.76966,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     76,                0.79433,                0.69433,                 0.9768,                0.91617,                0.81797,                 0.9152,                0.75848,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     77,                0.80215,                0.73764,                0.96909,                0.88601,                0.85766,                 0.9228,                  0.765,                    nan,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     78,                0.80606,                0.72788,                0.97071,                0.90299,                 0.8636,                0.91848,                0.76941,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     79,                0.77399,                0.67668,                0.96282,                0.89969,                0.87065,                0.92475,                0.76505,                    nan,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     80,                0.79329,                0.68055,                0.95907,                0.90581,                0.84136,                0.91739,                0.76555,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     81,                0.80687,                0.70123,                0.96402,                0.90579,                0.81874,                0.90954,                0.76438,                    nan,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     82,                0.79177,                0.67497,                0.96747,                0.91409,                0.85799,                 0.9192,                0.76617,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
